timeForPointcloud,frameInfo,in_point_num,out_point_num
//06:04-06:08  路明正常离床 250-280
2025-03-10 15:05:51,"[[14, 48, -2, 12, 2000], [14, 52, -5, 12, 3000], [15, 56, -5, 18, 3000], [15, 56, -4, 12, 3100], [16, 59, -4, 12, 3100], [17, 63, -4, 12, 3100], [29, 63, 0, 18, 2900], [19, 67, -3, 12, 3100], [34, 60, 2, 24, 2200], [38, 62, 6, 18, 2600], [38, 63, 1, 12, 3000], [38, 63, -2, 24, 1600], [43, 64, 6, 18, 2400], [41, 66, 2, 12, 3000], [47, 66, -4, 18, 2200], [1, 81, 6, 12, 3000], [50, 68, -9, 18, 2000], [0, 85, 3, 12, 3000], [46, 75, -10, 18, 1900], [52, 72, -6, 12, 2900], [53, 76, -9, 12, 2700], [29, 115, -15, 12, 1200], [34, 119, -11, 12, 1400], [3, 288, -46, 12, 1400], [266, 136, 49, 12, 1800], [106, 394, -33, 12, 1600], [96, 394, 77, 12, 1600], [202, 510, -25, 12, 1600], [87, 552, 51, 12, 1800], [86, 557, 39, 12, 1800]]",20,10
2025-03-10 15:05:51,"[[26, 36, -12, -18, 3100], [26, 36, -12, -12, 3100], [25, 36, -13, -24, 3100], [28, 39, -14, -18, 3100], [28, 39, -14, -12, 3100], [27, 39, -15, -24, 3100], [29, 42, -16, -18, 3100], [27, 46, -7, 12, 2400], [29, 43, -16, -24, 3100], [29, 50, -8, 12, 2500], [19, 56, -16, -12, 2800], [28, 53, -11, 12, 2400], [22, 60, -15, -12, 2800], [33, 16, -60, -12, 2400], [31, 60, -38, -12, 2300], [22, 68, -29, 12, 1700], [55, 53, -26, -12, 2700], [57, 52, -25, 12, 2200], [61, 54, -24, -12, 2700], [60, 56, -23, 12, 2300], [63, 61, -16, -12, 2000], [64, 61, -9, 12, 1800], [72, 133, -35, -12, 1900], [66, 139, -40, -12, 1700], [39, 286, -63, -12, 1500], [52, 291, -51, -12, 1700], [-259, 149, -28, 12, 1400], [68, 293, -38, -12, 1600], [49, 322, -61, -12, 1700], [251, 209, -70, -12, 1500], [99, 336, -118, -12, 1700], [233, 304, 35, -12, 1700], [-212, 321, 61, -12, 2100], [-211, 328, 50, -12, 1900], [31, 398, -40, 12, 1900], [-91, 389, 69, -12, 1500], [34, 401, -48, 12, 2100], [35, 398, -87, 12, 1600], [196, 367, -62, -12, 1700], [251, 374, -32, -12, 1400], [121, 500, -91, -18, 1600], [116, 508, -72, -18, 1600], [186, 651, -131, -12, 1500], [176, 689, 50, -18, 2000], [183, 685, 68, -12, 2400], [440, 578, 92, -12, 1800], [-577, 727, 167, 18, 2000], [-567, 738, 155, 12, 1800], [-582, 733, 147, 18, 2300], [-571, 741, 147, 12, 1900], [-588, 726, 154, 24, 1700], [-588, 733, 150, 18, 1900]]",17,35
2025-03-10 15:05:51,"[[23, 34, -10, -12, 3100], [25, 37, -12, -18, 3100], [25, 37, -12, -12, 3100], [27, 40, -14, -18, 3100], [26, 40, -14, -12, 3100], [25, 44, -18, -12, 2900], [23, 47, -25, -18, 3000], [10, 57, -8, -12, 3000], [14, 54, -15, 12, 2300], [25, 44, -28, -24, 2200], [28, 61, -31, -12, 2500], [32, 61, -37, -12, 2200], [47, 62, -25, 12, 2000], [53, 62, -24, 12, 2000], [73, 76, -25, -18, 1900], [81, 66, -27, -12, 1900], [75, 78, -31, -18, 1900], [84, 67, -34, -12, 2200], [74, 82, -36, -18, 1400], [87, 63, -45, -12, 1700], [35, 111, -31, -12, 1200], [-64, 76, -94, -12, 1200], [187, 176, -101, -12, 1400], [198, 178, -88, -18, 1300], [187, 195, -74, -12, 1700], [179, 211, -63, -12, 1600], [152, 241, -44, -12, 1500], [139, 255, -29, -12, 1500], [-186, 229, -20, -12, 1700], [-182, 238, -7, -12, 1700], [167, 271, -57, -12, 2000], [223, 233, -52, -18, 1900], [230, 221, -71, -12, 2400], [239, 218, -69, -18, 2100], [245, 210, -72, -12, 2500], [249, 211, -73, -18, 1800], [261, 191, -85, -12, 2400], [257, 198, -95, -12, 2400], [234, 235, -84, -12, 1800], [230, 228, -125, -12, 1700], [270, 192, -115, -12, 1500], [59, 329, -116, -12, 2000], [257, 215, -127, -18, 1500], [84, 318, -142, -12, 2100], [312, 135, -125, -12, 1800], [99, 344, -74, -18, 1900], [83, 341, -105, -12, 2100], [112, 337, -102, -18, 2000], [80, 343, -113, -12, 2200], [275, 230, -104, -18, 1700], [-184, 289, -149, -12, 1800], [-183, 331, 2, -12, 1500], [-2, 386, -110, -12, 1800], [24, 367, -171, -12, 2000], [-8, 406, -49, -12, 1800], [37, 407, -54, -12, 1800], [86, 401, -71, -12, 1800], [308, 566, -88, -12, 1400], [208, 702, -80, -12, 1500], [-561, 743, 176, 18, 1900], [-557, 747, 174, 12, 2100], [-572, 738, 181, 18, 2100], [-568, 747, 155, 12, 2300], [-597, 727, 165, 12, 1700]]",15,49
2025-03-10 15:05:52,"[[23, 30, -9, -12, 2700], [23, 33, -11, -12, 3100], [25, 36, -12, -12, 3100], [30, 42, -18, -12, 3100], [21, 49, -31, -12, 2500], [25, 51, -33, -12, 2300], [30, 45, -37, 12, 1700], [30, 54, -32, -12, 1700], [46, 162, -58, -12, 1200], [45, 170, -47, -12, 1700], [144, 105, -55, -12, 1600], [204, 249, -56, -12, 2100], [208, 253, -51, -12, 2400], [223, 239, -70, -12, 2300], [263, 198, -77, -12, 1600], [150, 296, -146, -12, 1900], [141, 319, -111, -12, 1900], [137, 355, -23, -12, 1400], [-565, 741, 167, 12, 2200], [-580, 739, 150, 12, 2600]]",10,10
2025-03-10 15:05:52,"[[21, 59, -20, 12, 1500], [51, 51, -27, -12, 2000], [53, 56, -24, -12, 2900], [56, 59, -24, -12, 2900], [11, 84, 4, 12, 2100], [59, 63, -21, -12, 2000], [9, 95, 15, 12, 1800]]",3,4
2025-03-10 15:05:52,"[[11, 63, -15, 12, 2500], [6, 64, -27, 12, 2000], [17, 75, -1, 12, 1800], [19, 73, -30, 12, 1700], [1, 85, 4, 12, 1200], [21, 90, 4, 12, 2200], [11, 96, 8, 12, 2400], [5, 100, 2, 12, 1800], [241, 211, -63, 12, 1200], [246, 214, -60, 12, 1400], [149, 332, -40, 12, 1800], [130, 344, -39, 12, 1500], [95, 433, -32, 12, 1600], [137, 499, -15, 12, 1600]]",8,6
2025-03-10 15:05:52,"[[25, 37, -11, 12, 3100], [27, 40, -12, 12, 3100], [8, 68, -11, 12, 3100], [0, 73, -8, 12, 2000], [8, 80, 4, 12, 2800], [9, 84, 5, 12, 3100], [10, 88, 7, 12, 3100], [11, 92, 10, 12, 3100], [15, 95, 12, 12, 2800], [16, 99, 4, 12, 2400], [18, 103, -7, 12, 2400], [26, 100, -32, 12, 2200], [29, 100, -42, 12, 2000], [-231, 165, -16, 12, 1400], [168, 239, 9, 12, 1700], [146, 256, -17, 12, 1700], [35, 292, -59, 12, 1700], [-48, 279, -110, 12, 2200], [172, 241, -84, 12, 2300], [192, 234, -74, 12, 2100], [189, 254, -64, 12, 1900], [212, 245, -44, 12, 2500], [216, 245, -52, 12, 3000], [229, 235, -67, 12, 2900], [11, 329, -80, 12, 2300], [-5, 338, -56, 12, 2200], [265, 229, 5, 12, 1800], [192, 311, -26, 12, 1700], [9, 416, 57, 12, 2100], [264, 331, 33, 12, 1700], [106, 447, -9, 12, 2000], [96, 450, 52, 12, 2200], [45, 451, 114, 12, 1800], [132, 474, -51, 12, 1600], [132, 480, -14, 12, 1800], [206, 453, 109, 12, 1300], [136, 496, -13, 12, 1700], [149, 493, -54, 12, 1500], [-285, 873, 160, -12, 1600], [-290, 872, 175, -12, 1800], [-293, 878, 159, -12, 1500], [-587, 733, 123, -12, 2000], [-575, 749, 114, -12, 2300], [-577, 752, 122, -12, 1900]]",14,30
2025-03-10 15:05:52,"[[24, 33, -10, 12, 2700], [26, 36, -12, 12, 3100], [28, 39, -13, 12, 3100], [28, 44, -13, 12, 2600], [20, 57, -11, 12, 2000], [20, 61, -14, 12, 2100], [36, 59, -7, 12, 2200], [-146, 253, -46, 12, 1500], [-118, 267, -68, 12, 1500], [220, 245, -37, 12, 1700], [217, 250, -50, 12, 1900], [219, 251, -57, 12, 1700]]",7,5
2025-03-10 15:05:53,"[[9, 80, 3, 12, 1700], [12, 84, 6, 12, 2400], [13, 88, 9, 12, 2500], [13, 91, 10, 12, 2200], [18, 98, 15, 12, 1900], [17, 102, 17, 12, 1800], [9, 115, 18, 12, 1500]]",7,0
